id,previous,new,both,discarded,total
CD008201,13.0,0.0,13.0,0.0,13.0
CD010019,3.0,0.0,3.0,0.0,3.0
CD010355,7.0,0.0,7.0,0.0,7.0
CD010526,9.0,0.0,9.0,0.0,9.0
CD010778,18.0,0.0,18.0,0.0,18.0
CD011380,4.0,1.0,4.0,0.0,5.0
CD011436,27.0,3.0,25.0,2.0,28.0
CD011571,6.0,0.0,6.0,0.0,6.0
CD012120,2.0,1.0,1.0,1.0,2.0
CD012164,3.0,1.0,3.0,0.0,4.0
CD012223,5.0,0.0,5.0,0.0,5.0
CD012347,14.0,2.0,13.0,1.0,15.0
CD012521,1.0,0.0,1.0,0.0,1.0
CD012930,23.0,4.0,22.0,1.0,26.0
CD008874,121.0,7.0,115.0,6.0,122.0
CD009044,8.0,8.0,6.0,2.0,14.0
CD011686,3.0,0.0,3.0,0.0,3.0
CD012080,85.0,5.0,81.0,4.0,86.0
CD012233,10.0,9.0,5.0,5.0,14.0
CD012567,5.0,0.0,5.0,0.0,5.0
CD012669,31.0,6.0,26.0,5.0,32.0
CD012768,41.0,37.0,28.0,13.0,65.0
CD000996,6.0,0.0,6.0,0.0,6.0
CD001261,26.0,0.0,26.0,0.0,26.0
CD004414,13.0,0.0,12.0,1.0,12.0
CD006468,15.0,0.0,14.0,1.0,14.0
CD007867,15.0,0.0,14.0,1.0,14.0
CD009069,6.0,48.0,6.0,0.0,54.0
CD009642,72.0,2.0,66.0,6.0,68.0
CD010038,12.0,0.0,12.0,0.0,12.0
CD010239,12.0,0.0,11.0,1.0,11.0
CD010558,16.0,0.0,16.0,0.0,16.0
CD010753,21.0,0.0,21.0,0.0,21.0
CD011571,6.0,0.0,6.0,0.0,6.0
CD011768,31.0,4.0,29.0,2.0,33.0
CD011977,38.0,1.0,37.0,1.0,38.0
CD012069,327.0,22.0,309.0,18.0,331.0
CD012164,3.0,0.0,3.0,0.0,3.0
CD012455,5.0,0.0,5.0,0.0,5.0
CD012551,34.0,4.0,30.0,4.0,34.0
CD012661,317.0,11.0,310.0,7.0,321.0
CD011558,27.0,2.0,24.0,3.0,26.0
CD011787,34.0,3.0,31.0,3.0,34.0
Total,3513.0,628.0,3387.0,126.0,4015.0
